Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,77,4324
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,96,49875
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,AZ Ave Link,21542
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,Buzz,9790
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,Main St Link,28594
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,104,26230
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,108,5168
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,112,39186
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,120,12016
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,128,11333
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,136,16263
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,156,2926
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,184,14240
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,30,49918
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,40,49028
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,45,44713
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,531,1236
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,533,5448
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,535,3535
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,541,987
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,61,84189
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,77,3813
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,96,54001
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,AZ Ave Link,22795
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,Buzz,10928
Oct,2014,FY14-15,10/01/2014 12:00:00 AM,Main St Link,32846
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,104,20659
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,108,4283
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,112,30492
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,120,8066
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,128,8359
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,136,13161
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,156,2085
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,184,12107
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,30,38567
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,40,51881
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,45,39177
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,531,1182
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,533,3688
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,535,2573
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,541,831
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,61,73379
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,77,2575
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,96,44765
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,AZ Ave Link,21251
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,Buzz,8195
Nov,2014,FY14-15,11/01/2014 12:00:00 AM,Main St Link,26577
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,104,22440
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,108,3082
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,112,32491
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,120,9573
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,128,9222
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,136,13876
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,156,1778
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,184,12970
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,30,40977
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,40,49281
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,45,40177
